CCLE_ID	Aneuploidy_status	compound_name	converged	r2	ec50	ic50	slope	lower_asym	upper_asym	auc	offset	reversine	n_reps	avg_viability	r2	ec50	ic50	slope	lower_asym	upper_asym	auc	offset	reversine	n_reps	avg_viability
A673STAG2NT23_ENGINEERED	NA	bortezumib	TRUE	0.527311318	0.12282006	0.123782292	12.5448393	4.662991252	100	0.654099277	0	0	3	74.09976179	0.116452031	0.023797502	0.00574669	0.284150034	-35.87582731	144.2384123	0.666563886	-51.10376892	0.254139035	3	45.62334851
CHLA10_BONE	NA	bortezumib	TRUE	0.44048346	0.062728272	0.117860915	1.372612807	28.96209649	100	0.679818686	-0.213637065	0	2	86.59940305	0.565594597	0.009394246	0.016665175	0.940629253	38.36681491	184.1105441	0.845196993	-14.65385568	0.254139035	2	97.19309223
CBAGPN_BONE	NA	bortezumib	TRUE	0.746342356	0.028564676	0.035369721	2.642576678	21.57288712	100	0.566709571	-0.008804265	0	1	67.44483846	0.759107354	0.016620802	0.018152675	7.638978306	41.30126331	168.5537664	0.892887268	-3.05E-08	0.254139035	1	81.97399527
PEDS005TADH_KIDNEY	NA	bortezumib	TRUE	0.688374935	0.165755711	0.169660003	5.796601781	6.312142547	100	0.696605552	-7.62E-12	0	3	73.56960237	0.915312879	0.170708727	0.173472436	7.877743252	5.510335831	92.73521311	0.648226674	0	0.254139035	3	63.54587423
NCIH2170_LUNG	TRUE	bortezumib	TRUE	0.526853253	0.141027009	0.143612783	10.57937244	8.743699867	100	0.68530796	0	0	3	68.07855674	0.101321519	0.018354561	0.030368292	0.127098742	6.524977063	210.5100396	1.031463364	-82.78465958	0.254139035	3	107.3796738
GSU_STOMACH	TRUE	bortezumib	TRUE	0.453965535	0.051460463	0.054367322	7.487942551	16.86584929	100	0.604334239	-6.52E-12	0	3	79.68260236	0.202057348	0.001797544	0.003561387	0.514340419	13.29774946	89.70196381	0.298174835	-31.62873386	0.254139035	3	41.97032075
BICR16_UPPER_AERODIGESTIVE_TRACT	TRUE	bortezumib	TRUE	0.500196455	0.197246095	0.211099045	5.160995747	14.77630499	100	0.743291068	-7.69E-11	0	3	94.50953479	0.208884191	0.021785557	0.012413184	0.233530639	-8.219524545	117.1070869	0.542360126	-40.46896055	0.254139035	3	49.486416
RH30_SOFT_TISSUE	TRUE	bortezumib	TRUE	0.209835432	0.068902228	0.077030783	6.413944781	25.54678637	100	0.67390772	-6.80E-11	0	3	102.6209857	0.253053377	0.00198211	0.001750376	0.275678881	-3.769097259	216.1814953	0.680080312	-98.29337661	0.254139035	3	67.48982407
LU99_LUNG	TRUE	bortezumib	TRUE	0.705227466	0.196151813	0.202454308	8.145911039	11.35543871	100	0.732345688	0	0	3	68.44384482	0.288098591	0.086207119	0.123955501	1.683557038	17.9436114	78.45597283	0.536944764	-0.028687049	0.254139035	3	57.12658931
NCIH2172_LUNG	TRUE	bortezumib	TRUE	0.734329443	0.209393992	0.230922693	4.814843105	18.78756666	100	0.761684878	-3.53E-10	0	3	83.19848696	0.302632559	0.066031362	0.015141486	0.3072207	-59.30802249	207.3179461	1.098629177	-56.44262054	0.254139035	3	102.3294536
OE19_OESOPHAGUS	TRUE	bortezumib	TRUE	0.153874947	0.068674495	0.082813549	2.524840448	18.83367983	100	0.64414842	-0.001491898	0	3	72.77924807	0.345953487	0.310857444	0.126847786	-0.6761698	95.76287451	421.3836037	1.890347244	-319.4161328	0.254139035	3	224.8959169
PANC0327_PANCREAS	TRUE	bortezumib	TRUE	0.427318979	0.120733057	0.132766033	3.503093771	14.15491508	100	0.686622945	-3.20E-06	0	3	86.20223653	0.352784402	0.00568694	0.004268847	0.284738525	-4.871054972	114.4798163	0.425681798	-44.48974307	0.254139035	3	43.1610732
JHH1_LIVER	TRUE	bortezumib	TRUE	0.684568287	0.091551001	0.09684573	5.39481817	13.08161643	100	0.651434585	-1.40E-09	0	3	64.0563763	0.353189137	0.047968709	0.009731196	-0.348052978	65.2728868	306.4073177	1.837367454	-192.597089	0.254139035	3	170.5406413
SNU201_CENTRAL_NERVOUS_SYSTEM	TRUE	bortezumib	TRUE	0.408159394	0.049636934	0.057456889	1.805244913	11.60542438	100	0.57511749	-0.065265349	0	3	54.09549584	0.38272032	0.087451548	0.010123689	-0.529917821	90.37406687	265.4097697	1.654265487	-160.6985307	0.254139035	3	166.0787813
YAPC_PANCREAS	TRUE	bortezumib	TRUE	0.49028913	0.040388574	0.055742174	1.569955441	19.84957884	100	0.593313602	-0.208964588	0	3	60.11417278	0.383068431	0.018563829	0.021414981	5.146455776	26.48429412	101.737442	0.559444612	-1.40E-05	0.254139035	3	51.85394895
ECGI10_OESOPHAGUS	TRUE	bortezumib	TRUE	0.3332305	0.176433604	0.189930842	6.155557414	18.23821996	100	0.741863815	-7.11E-13	0	3	99.45596169	0.462489515	0.024819138	0.009597712	0.309815885	-24.93082002	145.6844829	0.673475466	-45.12797624	0.254139035	3	53.84863397
A253_SALIVARY_GLAND	TRUE	bortezumib	TRUE	0.316338439	0.121310332	0.125179908	14.17877301	17.96561449	100	0.701044346	0	0	3	98.14872474	0.515537549	0.059183905	0.065323431	5.037110025	16.95247725	86.54751535	0.546901737	-5.25E-08	0.254139035	3	68.09486866
SNU8_OVARY	TRUE	bortezumib	TRUE	0.713280607	0.033254057	0.030829244	0.566954923	-2.193026351	100	0.473946749	-11.78622728	0	2	48.73919551	0.531456361	0.012441906	0.013661601	2.358663969	23.49286421	237.366471	0.961167886	-0.452069795	0.254139035	2	83.9875304
